SnowToday Calculated SWE Summary Data : 2023-04-15
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (inches)
Column06 : percent of median long-term (25+yr) SWE
Column07 : daily change in SWE (inches)
Column08 : State
Column09 : HUC02
Column10 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,dSWE,State,HUC02,HUC04
Alexander Lake,61.7500,-150.8900,48.8,9.3,NaN,0.0,USAK,HUC19,N/A
American Creek,64.7900,-141.2300,320.0,5.6,NaN,0.0,USAK,HUC19,N/A
Anchor River Divide,59.8600,-151.3200,503.8,12.4,102.0,0.0,USAK,HUC19,N/A
Anchorage Hillside,61.1100,-149.6700,634.0,12.6,NaN,0.0,USAK,HUC19,N/A
Bettles Field,66.9200,-151.5300,195.1,8.6,132.0,0.0,USAK,HUC19,N/A
Chisana,62.0700,-142.0500,1011.9,6.8,NaN,0.0,USAK,HUC19,N/A
Coldfoot,67.2500,-150.1800,317.0,6.5,100.0,0.0,USAK,HUC19,N/A
Cooper Lake,60.3900,-149.6900,365.8,16.2,114.0,0.0,USAK,HUC19,N/A
East Palmer,61.6000,-149.1000,70.1,NaN,NaN,NaN,USAK,HUC19,N/A
Exit Glacier,60.1900,-149.6200,121.9,21.8,NaN,0.2,USAK,HUC19,N/A
Fairbanks F.O.,64.8500,-147.8000,137.2,NaN,NaN,NaN,USAK,HUC19,N/A
Fielding Lake,63.2000,-145.6300,914.4,10.0,NaN,0.0,USAK,HUC19,N/A
Flower Mountain,59.4000,-136.2800,765.0,25.4,NaN,0.0,USAK,HUC19,N/A
Frostbite Bottom,61.7500,-149.2700,823.0,18.8,NaN,0.0,USAK,HUC19,N/A
Galena AK,64.7000,-156.7100,125.0,6.7,NaN,0.0,USAK,HUC19,N/A
Grandview,60.6100,-149.0600,335.3,30.3,93.0,0.5,USAK,HUC19,N/A
Granite Crk,63.9400,-145.4000,378.0,6.2,168.0,0.0,USAK,HUC19,N/A
Grouse Creek Divide,60.2600,-149.3400,213.4,20.0,110.0,0.2,USAK,HUC19,N/A
Heen Latinee,58.7000,-134.8600,629.4,NaN,NaN,NaN,USAK,HUC19,N/A
Independence Mine,61.7900,-149.2800,1082.0,25.9,NaN,0.0,USAK,HUC19,N/A
Indian Pass,61.0700,-149.4800,716.3,25.9,110.0,0.0,USAK,HUC19,N/A
Jack Wade Jct,64.1500,-141.3300,1092.7,7.2,NaN,0.0,USAK,HUC19,N/A
Kantishna,63.5400,-150.9900,472.4,8.6,NaN,0.0,USAK,HUC19,N/A
Kelly Station,67.9300,-162.2800,94.5,NaN,NaN,NaN,USAK,HUC19,N/A
Kenai Moose Pens,60.7300,-150.4800,91.4,7.7,171.0,0.0,USAK,HUC19,N/A
Little Chena Ridge,65.1200,-146.7300,609.6,6.6,121.0,0.0,USAK,HUC19,N/A
Long Lake,58.1900,-133.8300,259.1,44.4,NaN,0.0,USAK,HUC19,N/A
May Creek,61.3500,-142.7100,490.7,8.4,NaN,0.0,USAK,HUC19,N/A
McGrath,62.9500,-155.6100,103.6,11.7,NaN,0.0,USAK,HUC19,N/A
Mcneil Canyon,59.7400,-151.2500,402.3,11.1,112.0,0.0,USAK,HUC19,N/A
Monahan Flat,63.3100,-147.6500,826.0,6.8,NaN,0.0,USAK,HUC19,N/A
Monument Creek,65.0800,-145.8700,563.9,7.8,144.0,0.0,USAK,HUC19,N/A
Moraine,61.3800,-149.0000,640.1,8.5,NaN,0.0,USAK,HUC19,N/A
Mt. Alyeska,60.9600,-149.0900,469.4,22.7,67.0,0.4,USAK,HUC19,N/A
Mt. Eyak,60.5500,-145.7500,428.2,34.7,NaN,1.1,USAK,HUC19,N/A
Mt. Ryan,65.2500,-146.1500,853.4,8.4,131.0,0.0,USAK,HUC19,N/A
Munson Ridge,64.8500,-146.2100,944.9,10.5,124.0,0.0,USAK,HUC19,N/A
Port Graham,59.3500,-151.8500,91.4,14.8,NaN,0.0,USAK,HUC19,N/A
Summit Creek,60.6200,-149.5300,426.7,11.8,108.0,0.0,USAK,HUC19,N/A
Susitna Valley High,62.1300,-150.0400,114.3,13.3,148.0,0.0,USAK,HUC19,N/A
Telaquana Lake,60.9800,-153.9200,388.6,7.5,NaN,0.0,USAK,HUC19,N/A
Teuchet Creek,64.9500,-145.5200,499.9,6.2,136.0,0.0,USAK,HUC19,N/A
Tokositna Valley,62.6300,-150.7800,259.1,13.3,NaN,0.0,USAK,HUC19,N/A
Turnagain Pass,60.7800,-149.1800,573.0,28.3,80.0,0.3,USAK,HUC19,N/A
Upper Chena,65.1000,-144.9300,868.7,10.1,142.0,0.0,USAK,HUC19,N/A
Upper Nome Creek,65.3700,-146.5900,768.1,7.2,NaN,0.0,USAK,HUC19,N/A
Upper Tsaina River,61.1900,-145.6500,533.4,22.6,NaN,0.2,USAK,HUC19,N/A
Baker Butte,34.4600,-111.4100,2225.0,2.0,NaN,-0.9,USAZ,HUC15,N/A
Baker Butte Smt,34.4600,-111.3800,2347.0,27.6,NaN,-0.4,USAZ,HUC15,N/A
Baldy,33.9800,-109.5000,2781.3,0.1,NaN,-0.7,USAZ,HUC15,N/A
Bar M,34.8600,-111.6100,1948.6,0.0,NaN,0.0,USAZ,HUC15,N/A
Beaver Head,33.6900,-109.2200,2435.4,0.0,NaN,0.0,USAZ,HUC15,N/A
Beaver Spring,36.3300,-109.0600,2804.2,15.5,NaN,-0.3,USAZ,HUC14,N/A
Chalender,35.2600,-112.0600,2164.1,0.1,NaN,0.0,USAZ,HUC15,N/A
Coronado Trail,33.8000,-109.1500,2560.3,0.0,NaN,0.0,USAZ,HUC15,N/A
Fort Valley,35.2700,-111.7400,2240.3,0.0,NaN,-0.2,USAZ,HUC15,N/A
Fry,35.0700,-111.8400,2194.6,5.5,NaN,-1.2,USAZ,HUC15,N/A
Hannagan Meadows,33.6500,-109.3100,2749.3,0.4,NaN,-0.9,USAZ,HUC15,N/A
Happy Jack,34.7500,-111.4100,2325.6,9.2,NaN,-0.9,USAZ,HUC15,N/A
Hawley Lake,33.9700,-109.7700,2529.8,9.0,NaN,-1.4,USAZ,HUC15,N/A
